wordOrder,spelling
1,abandon
2,abatement 
3,abdomen
4,abide
5,abnormal
6,aboard
7,abolish
8,abound
9,above
10,abroad
11,abrupt
12,absence
13,absent
14,absolute
15,abstract
16,absurd
17,academic
18,academy
19,accelerate
20,accept
21,acceptable 
22,access
23,accessory
24,accident
25,acclaim
26,accommodate
27,accompany
28,accomplish
29,accord
30,accordance 
31,according to
32,accordingly
33,account
34,accountant
35,accumulate
36,accuracy
37,accurate
38,accuse
39,accustomed
40,ache 
41,acid
42,acknowledge
43,acquaint
44,acquaintance
45,acquire
46,acquisition
47,acrobat
48,across
49,act
50,action
51,activate
52,active
53,activity 
54,actor
55,actress
56,actual
57,acute
58,adapt
59,add
60,addict
61,addition
62,additional
63,address
64,adequate
65,adhere
66,adjacent
67,adjoin
68,adjust
69,administer
70,administration
71,admission
72,admit
73,adolescent
74,adopt
75,adore
76,adult
77,advance
78,advanced
79,advantage
80,advent
81,adventure
82,adverb
83,adverse
84,advice
85,advise
86,advocate
87,aerial
88,aeroplane 
89,aesthetic
90,affair
91,affect
92,affection
93,affiliate
94,affluent
95,afford
96,afraid
97,afterward
98,again
99,against
100,agency
101,agenda
102,agent
103,aggressive
104,agitate
105,agree
106,agreeable
107,agreement
108,ahead
109,aid
110,air
111,air-conditioning 
112,aircraft 
113,airline
114,airport
115,aisle
116,alarm
117,album
118,alcohol
119,alert
120,alien
121,alike
122,alive
123,allege
124,alleviate
125,alliance
126,allocate
127,alloy
128,ally
129,almost
130,alone
131,along
132,aloud
133,alphabet
134,already
135,alter
136,alternate
137,alternative
138,although
139,altitude
140,altogether
141,aluminum
142,always
143,amateur
144,amaze
145,ambassador
146,ambition
147,ambulance
148,amend
149,amiable
150,amid
151,among
152,ample
153,amplifier
154,amplify
155,analogue
156,analogy
157,analyse
158,analysis
159,ancestor
160,anchor
161,ancient
162,and
163,anecdote
164,anger
165,angle
166,angry
167,anguish
168,animal
169,ankle
170,anniversary
171,announce
172,annoy
173,annual
174,anonymous
175,ant
176,antenna
177,anticipate
178,antique
179,anxiety
180,anxious
181,anyhow
182,anywhere
183,apart
184,apartment
185,apologise
186,apology 
187,appal
188,apparent
189,appeal
190,appendix
191,appetite
192,applaud
193,applause
194,appliance
195,applicable
196,application
197,apply
198,appoint
199,appointment
200,appraisal
201,approach
202,appropriate
203,approval
204,approve
205,approximate
206,apt
207,arbitrary
208,arch
209,architect
210,architecture
211,area 
212,argue
213,argument
214,arithmetic
215,arm
216,around
217,arouse
218,arrange
219,array
220,arrest
221,arrive
222,arrogant
223,arrow
224,artery
225,article
226,articulate
227,artificial
228,artist
229,artistic
230,ascertain
231,ash
232,ashamed 
233,ashore
234,aside
235,asleep
236,aspire
237,assassinate
238,assault
239,assemble
240,assembly
241,assert
242,assess
243,asset
244,assign
245,assignment
246,assimilate
247,assist
248,assistance
249,assistant
250,association
251,assume
252,assumption
253,assurance
254,astronaut
255,at
256,athlete
257,atmosphere
258,attach
259,attain
260,attempt
261,attend
262,attendance
263,attendant
264,attention
265,attitude
266,attorney
267,attractive
268,attribute
269,auction
270,audio
271,audit 
272,auditorium
273,augment
274,aunt
275,aural
276,authentic
277,author
278,authority
279,auto
280,automatic
281,autonomy
282,avail
283,available
284,avenue
285,average
286,avert
287,aviation
288,avoid
289,await
290,awake
291,aware
292,away
293,awe
294,awful
295,awkward
296,axis
297,back
298,backward
299,bacon
300,badge
301,badly
302,badminton
303,bag
304,bait
305,bake
306,balance
307,bald
308,ball
309,ballet
310,balloon
311,ballot
312,ban
313,bandage
314,bang
315,bank
316,bankrupt
317,banquet
318,bar
319,barbecue
320,barber
321,bare
322,barely
323,bargain
324,bark
325,barn
326,barrel
327,barrier
328,base
329,basement
330,basin
331,basis
332,basketball
333,batch
334,bath
335,bathroom 
336,battle
337,bay
338,beach
339,beam
340,bean
341,beard
342,bearing
343,beast
344,beat
345,beautiful
346,beauty
347,because 
348,bee
349,beef
350,before
351,beforehand
352,beg 
353,beginning
354,behalf
355,behavior
356,behind
357,being
358,belief
359,believe
360,bell
361,belly
362,belong
363,beloved
364,below
365,belt
366,bench
367,bend
368,benefit
369,benign
370,beside
371,betray
372,beware
373,bias
374,Bible
375,bin
376,biography
377,biology
378,birth
379,birthday
380,biscuit
381,bit
382,bitter
383,bizarre
384,black
385,blade
386,blame
387,blank
388,blanket
389,blast
390,blaze
391,bleak
392,bleed
393,blend
394,blind
395,block
396,bloody
397,bloom
398,blouse
399,blow
400,blueprint
401,blunder
402,blunt
403,blush
404,board
405,boast
406,boat
407,body
408,boil
409,bold
410,bomb
411,bond
412,bonus
413,book
414,boom
415,boost
416,boot
417,booth
418,border
419,bore
420,born
421,borrow
422,bosom
423,bother
424,bottle
425,bottom
426,bounce
427,bound
428,boundary
429,bowel
430,bowl
431,bowling
432,box
433,boycott
434,brace
435,bracket
436,brain
437,brake
438,branch
439,brand
440,brandy
441,brass
442,breach
443,bread
444,breadth
445,breakdown
446,breakfast
447,breast
448,breath
449,breathe
450,breeze
451,bribe
452,brick
453,bridge
454,brief
455,briefcase
456,bright
457,brilliant
458,brim
459,bring
460,brisk
461,brittle
462,broadcast 
463,brochure
464,bronze
465,brook
466,broom
467,brother
468,brow
469,browse
470,brush
471,brutal
472,bucket
473,bud
474,budget
475,buffet
476,bug
477,build
478,building
479,bulb
480,bulk
481,bull
482,bullet
483,bulletin 
484,bully
485,bump
486,bunch
487,bundle
488,burden
489,bureau
490,burn
491,burst
492,bury
493,bus
494,bush
495,business
496,busy
497,butcher
498,butter
499,butterfly
500,button
501,buy
502,by
503,cabbage
504,cabin
505,cabinet
506,cable
507,cafeteria
508,cage
509,cake
510,calcium 
511,calculate
512,calendar
513,calorie
514,camel
515,camera
516,campus
517,can
518,canal
519,cancel
520,candidate
521,candle
522,cannon
523,canoe
524,canvas
525,cap
526,capable
527,capacity
528,cape 
529,capital
530,capitalism
531,capsule
532,captain
533,carbohydrate
534,card
535,cardinal
536,care
537,career
538,caress
539,cargo
540,carpenter
541,carpet
542,carriage
543,carrier
544,carrot
545,carry
546,cart
547,carve
548,case
549,cashier
550,cassette
551,cast
552,castle
553,casual
554,casualty
555,cat
556,catastrophe
557,catch
558,category
559,cathedral
560,Catholic
561,cattle
562,cause
563,caution
564,cautious
565,cave
566,cease
567,ceiling
568,celebrate
569,celebrity
570,cell
571,cellar
572,cement
573,cemetery
574,census
575,centigrade
576,centimetre
577,central
578,century
579,cereal
580,ceremony
581,certain
582,certainty
583,certificate
584,certify
585,chair
586,chairman
587,challenge
588,chamber
589,champagne
590,champion
591,chance
592,chancellor
593,change
594,channel
595,chaos
596,chap
597,chapter
598,character
599,characteristic
600,characterize
601,charge
602,charity
603,chart
604,charter
605,chase
606,chat
607,cheap
608,cheat
609,cheek
610,cheese
611,chef 
612,chemical
613,chemist
614,chemistry
615,cheque
616,cherish
617,chess
618,chest
619,chew
620,chicken
621,child
622,childhood
623,chill
624,chimney
625,chin
626,china
627,chocolate
628,choke
629,choose
630,Christian
631,chronic
632,church
633,cigar
634,cigaret
635,cinema
636,circuit
637,circular
638,circumference
639,circus
640,citizen
641,civil
642,civilian
643,civilization
644,civilize
645,claim
646,clap
647,clarity
648,clash
649,clasp
650,class
651,classic
652,classical
653,classify
654,classroom
655,clause
656,claw
657,clay
658,clean
659,clergy
660,clerk
661,clever
662,click
663,cliff
664,climate
665,climax
666,climb
667,cling
668,clinic
669,clip
670,cloak
671,clock
672,clockwise
673,close
674,closet
675,cloth
676,clothe
677,clothing
678,cloudy
679,club
680,clue
681,clumsy
682,cluster
683,coal
684,coalition
685,coarse
686,coast
687,coat
688,cocaine
689,cock
690,code
691,cognitive
692,coherent
693,cohesive
694,coil
695,coincide
696,coke
697,cold
698,collaborate
699,collar
700,colleague
701,collect
702,collection
703,collective
704,college
705,collision
706,colonel
707,colonial
708,colony
709,color
710,column
711,comb
712,combat
713,combination
714,combine
715,come
716,comedy
717,comfort
718,comfortable
719,comic
720,command
721,commemorate
722,commence
723,commend
724,comment
725,commerce
726,commercial
727,commodity
728,common
729,commonplace
730,commonwealth
731,communicate
732,communication
733,communism
734,compact
735,companion
736,company
737,comparable
738,comparative
739,compare
740,comparison
741,compartment
742,compass
743,compatible
744,compel
745,compensate
746,compete
747,competent
748,competition
749,compile
750,complain
751,complaint
752,complement
